,artistid,popular
74102,35263,39
74113,10472,767
74126,14009,302
74146,7039,1288
74155,23867,258
74200,3836,30
74215,4581,3845
74231,4024,692
74276,1782,26469
74278,1370,11507
74332,4114,774
74380,942,14604
74383,1441,998
74440,2168,2545
74483,2297,5853
74512,4952,529
74517,16651,388
74576,2005,3979
74582,2258,2254
74587,24385,906
74594,6068,1289
74628,4653,3130
74690,4853,146
74810,9541,278
74898,3153,3346
74901,12831,812
74913,7993,1980
74990,6520,1239
75037,2542,7453
75064,4766,665
75071,15735,20
75082,2130,5989
75189,3857,1143
75195,3846,2020
75209,15305,121
75231,895,58687
75272,342,1601
75286,972,35499
75346,29654,85
75383,2780,265
75413,4828,133
75453,10744,642
75537,76,7312
75554,3095,1523
75726,4461,4220
75769,3289,2384
75773,498,8714
75786,1162,2508
75801,4822,670
75810,848,2846
75814,150,5322
75830,5875,1916
75847,16312,121
75855,1071,2026
75863,6020,440
75864,3731,3575
75868,32588,96
75959,667,615
76018,43391,47
76059,17968,58
76105,5500,1282
76146,3033,3498
76227,77628,43
76280,13592,317
76329,6955,271
76348,1709,2993
76412,1095,11755
76439,2946,331
76466,2518,168
76499,304,9169
76575,5733,1499
76619,8688,397
76741,83016,3
76866,2553,391
76877,1973,5335
77037,10758,93
77056,2006,982
77088,40411,39
77094,8129,1363
77105,316,32054
77155,4175,3169
77158,636,11151
77212,23482,87
77241,357,5642
77273,10593,432
77296,13195,928
77307,2115,1448
77466,2116,2265
77474,10574,754
77548,12502,360
77660,3920,770
77678,5926,1455
77772,1491,789
77801,1974,983
77824,5662,2306
77829,4061,1018
77848,4276,583
77901,21638,401
77910,6389,273
77923,19590,99
77932,10320,61
78030,2783,2467
78053,32995,86
78099,9816,81
78120,114417,3
78161,50384,3
78172,11352,439
78213,499,6439
78293,46791,8
78300,14106,111
78341,21354,43
78354,1218,2477
78546,36595,50
78551,45779,51
78586,13184,171
78646,6024,301
78649,15224,191
78722,6927,860
78793,26071,18
78824,8384,206
78895,6992,673
78941,5524,601
78976,5972,1181
78995,15901,616
79022,9164,308
79049,5904,482
79107,4197,1481
79113,5032,9264
79147,3852,3980
79265,2317,2094
79321,2481,6424
79349,12928,229
79400,32408,86
79440,2494,2550
79457,35909,27
79544,3983,336
79669,3137,3347
79713,334,1158
79830,2799,3575
79870,198,2843
79919,22011,104
79922,4180,1624
79931,7161,837
79963,2271,1974
79996,30,3747
80005,234,4164
80016,2814,3554
80106,11285,1663
80175,248,5034
80251,87,13903
80365,8163,956
80369,8819,203
80380,8253,476
80444,127527,1
80451,16022,603
80459,4060,1984
80481,1584,280
80496,5896,2470
80538,3195,790
80687,526,14106
80692,1733,4443
80732,4288,570
80752,1781,16818
80807,772,20305
80835,803,830
80855,4179,2724
80873,11159,1404
80904,19382,67
80940,856,17700
80976,139319,1
81057,2101,1822
81082,7327,923
81121,3986,515
81148,9146,284
81149,7844,505
81151,2227,2289
81163,2687,3402
81199,44252,55
81204,20654,68
81206,1396,5969
81308,6005,1010
81482,102,4318
81544,1300,4539
81586,7095,255
81609,10422,298
81632,5518,589
81639,286,17670
81755,4598,2865
81788,4739,3047
81792,1129,8557
81832,2225,1548
81853,2190,1737
81898,973,22412
81915,10128,246
82005,7232,131
82034,1942,2811
82037,16962,109
82160,720,27413
82164,14379,137
82178,1661,6036
82319,299,27793
82446,6247,723
82489,1929,4425
82653,21503,221
82694,7875,1016
82747,1939,505
82750,1659,5794
82785,2694,206
82795,4057,136
82898,1476,2445
82924,2669,2773
83090,3040,2607
83125,9642,930
83166,49274,91
83216,15595,166
83258,48955,34
83275,18687,336
83347,2773,874
83394,20,22606
83400,10,5004
83427,11888,237
83432,6982,635
83673,5933,127
83683,2502,249
83774,495,30223
83786,5619,2363
83823,20771,100
83830,4190,158
83936,9116,1324
83937,17871,184
83955,261,14763
83957,6888,553
84018,11549,453
84057,39653,184
84157,1611,11249
84297,689,6326
84302,8172,175
84376,6480,920
84398,17826,30
84405,40749,38
84449,1788,5668
84534,1151,7551
84553,1834,1487
84607,1703,2138
84641,22957,288
84668,1700,2292
84673,9991,296
84720,7854,396
84746,6466,446
84779,1789,10736
84879,1073,10075
84928,8208,98
84975,24039,137
84978,10603,502
85049,5247,678
85052,1992,138
85076,1204,3388
85084,6765,565
85149,21444,209
85233,1802,7263
85254,22475,517
85262,5087,486
85335,9281,224
85361,615,4938
85409,97333,20
85416,4496,1027
85505,6042,168
85520,5823,3439
85583,15536,103
85591,24578,179
85597,6,46073
85648,472,2654
85677,2284,2399
85706,12462,160
85765,26548,383
85797,1066,6685
85813,180,24163
85880,4267,2280
85967,2098,5256
85987,15594,339
86035,8240,36
86044,2826,2410
86156,22417,65
86167,7883,223
86249,2570,148
86256,1256,8177
86307,26993,307
86366,78357,9
86372,4734,2140
86415,4297,1084
86438,20427,514
86449,3297,334
86557,6450,390
86727,3150,1337
86783,16073,100
86800,11621,636
86913,1494,7275
86939,1815,3052
86949,71326,17
86978,31115,108
87024,54205,48
87031,10910,229
87061,1888,2771
87062,4527,2126
87078,29047,176
87124,43979,48
87125,38070,32
87149,1399,5517
87150,5583,833
87241,7446,737
87311,33817,16
87330,4272,1598
87332,19288,95
87390,3356,198
87397,11773,226
87422,11092,183
87456,22358,83
87481,71328,14
87500,23083,96
87530,2109,478
87541,1689,2458
87579,990,4785
87597,1791,1023
87614,2937,2509
87621,4871,864
87671,20447,563
87732,27457,18
87791,3118,7054
87884,3931,1209
87937,27026,407
87967,8028,347
88008,7156,1628
88023,77960,4
88085,5591,1880
88165,1087,7589
88322,379,8432
88380,3082,5440
88399,15256,382
88400,3432,2120
88416,3245,1996
88432,12725,84
88558,563,4243
88778,26599,44
88793,25852,179
88884,116,4194
88979,1577,7869
89083,3491,11761
89127,13468,69
89138,13149,189
89220,7330,98
89241,12926,164
89367,10567,211
89427,1609,1649
89496,1714,3272
89516,1637,808
89540,16117,544
89545,15517,231
89547,1056,2770
89599,3686,1120
89600,10296,214
89622,920,595
89645,2948,773
89683,546,463
89742,22958,196
89755,785,5441
89831,4812,347
89842,2546,956
89869,3741,5280
89894,78173,19
89896,18259,441
89897,1360,27338
89911,4208,477
89923,11577,1697
89931,4568,1947
89954,4834,1444
89955,86,2180
89967,36988,25
90099,193,4877
90147,4025,1945
90191,39656,38
90217,3465,746
90248,5876,155
90252,7194,1110
90268,80,4039
90311,15029,295
90322,18666,336
90389,3811,5300
90404,16492,43
90646,177,9747
90648,4047,306
90650,88,13536
90660,5163,225
90697,3529,1139
90709,5937,144
90760,27772,197
90769,2163,5307
90821,1368,6250
90878,4148,258
90879,4257,555
90918,378,4536
90941,6758,419
91001,7654,958
91042,5553,965
91052,17296,184
91073,26856,99
91096,26365,119
91130,1532,477
91193,154,1295
91255,4450,65
91337,1756,1208
91359,33623,33
91396,894,1927
91470,1259,8262
91529,8511,527
91556,24058,64
91562,4451,2406
91639,6843,1627
91759,5371,2002
91762,1490,236
91784,885,15119
91789,2810,1593
91808,9094,180
91842,777,2884
91898,1061,2594
91911,29020,53
92007,2293,5303
92022,2711,667
92108,16384,319
92122,19472,122
92124,26,20053
92144,16068,84
92227,2452,1747
92232,1165,13455
92259,9434,384
92378,783,12698
92436,9109,51
92626,6637,1865
92638,132,12333
92641,1547,3312
92663,7191,2199
92665,4993,189
92684,8312,682
92689,25769,37
92724,1997,2142
92774,4293,211
92801,1605,2571
92808,35866,77
92842,6814,220
92974,5515,1852
92993,153,480
93102,769,3874
93108,29377,48
93111,9736,32
93165,12969,217
93182,5532,3657
93264,5546,3432
93280,13572,121
93307,842,8496
93315,15141,98
93345,62,54982
93358,69394,5
93412,2090,82
93416,44566,83
93417,11772,645
93439,9409,412
93454,5540,3756
93541,4033,1060
93560,865,4909
93635,1964,1476
93637,197,2235
93672,32827,40
93681,5130,240
93694,1915,2617
93740,10016,571
93767,8719,1372
93782,423,1455
93799,3496,124
93815,21598,30
93865,2768,3132
93899,1383,8335
93967,105,6297
93974,5551,1696
93979,2877,1821
93993,22843,37
93998,14618,37
94022,72,4503
94132,5396,360
94225,5919,3778
94292,67070,37
94303,16111,270
94326,7250,128
94346,103,8130
94349,553,256
94371,2185,1700
94417,14423,265
94462,20507,208
94481,1203,15953
94505,2444,7249
94514,903,16408
94620,12832,187
94633,4449,1043
94661,9972,958
94687,48318,74
94703,1843,31035
94791,13903,866
94792,1528,5532
94856,6270,517
94892,11607,429
94919,25497,54
94928,23398,67
94981,2980,1002
94996,10808,236
95035,1933,1748
95140,6802,579
95179,12587,504
95191,23542,40
95212,503,7765
95218,986,7438
95220,905,6724
95255,3010,1033
95287,1945,2072
95336,1675,3417
95337,3812,2410
95371,1038,3938
95377,13435,307
95393,19722,106
95417,6838,344
95474,8862,1054
95476,12605,333
95494,10884,237
95515,12980,653
95517,2252,2116
95522,1121,1238
95541,8278,116
95598,34665,75
95649,8544,3024
95734,5173,752
95766,3141,548
95848,9495,511
95857,1766,2517
95901,3132,7013
95910,301,3613
95948,2100,14415
96007,3517,2664
96014,34465,51
96017,16446,119
96102,3794,2510
96149,4171,1085
96164,28183,79
96221,1309,22146
96309,52099,50
96377,3263,248
96400,2682,346
96403,19064,50
96442,1217,2200
96464,6330,124
96496,1316,8908
96520,3135,12049
96546,1216,4600
96565,21197,94
96601,28453,173
96606,4324,61
96614,2617,3595
96632,59580,32
96686,8907,262
96697,8532,213
96707,13276,304
96766,2473,3585
96807,600,4659
96826,24124,133
96883,2943,2169
96886,20451,361
96920,28345,79
96925,9691,444
97017,52432,82
97019,4405,9942
97023,12890,339
97103,1100,4750
97117,85,6826
97179,83,1090
97242,371,19837
97243,25688,54
97286,7706,89
97303,1319,12739
97319,1243,2703
97322,1887,799
97327,3384,4651
97343,6509,2031
97372,16041,444
97429,3223,2290
97580,509,25
97617,5825,2165
97665,15031,574
97738,2276,11125
97801,928,4080
97810,4896,937
97821,17637,84
97844,9733,353
97847,12897,152
97949,5925,4338
97987,6216,67
97995,13912,1198
98000,17455,292
98114,64,2368
98207,3780,61
98251,55,4021
98262,2131,8586
98297,6160,234
98306,26090,64
98326,3750,465
98329,1644,43228
98366,8576,1070
98371,2171,600
98428,3277,970
98461,284,2770
98463,3548,152
98518,26077,37
98587,8161,834
98689,16054,201
98780,2383,5625
98785,908,3652
98798,864,5469
98831,1130,9521
98845,396,18305
98920,20368,379
98928,12277,680
99015,3091,372
99028,4583,149
99037,13630,123
99045,2313,2041
99057,8522,160
99070,22,38335
99156,133218,5
99198,8056,396
99212,9141,1043
99216,6867,837
99230,362,8178
99316,335,8939
99370,4076,4886
99373,13312,70
99396,124917,3
99400,1209,3142
99403,16382,254
99409,1041,5079
99501,4945,6399
99516,9149,759
99550,140,3504
99553,32694,97
99576,24560,181
99600,1821,253
99670,1999,1473
99700,10901,281
99754,1829,7210
99784,3183,1880
99788,7431,2116
99790,287,9036
99801,1055,3332
99867,4030,806
99916,10132,259
99953,1655,2186
99973,2754,724
99981,51,599
99989,1859,4786
100010,8936,349
100017,23043,65
100028,24939,50
100073,1857,2757
100146,14166,162
100199,8057,191
100213,2200,5988
100255,27864,128
100272,27194,32
100287,2348,6806
100369,17582,206
100377,1684,8939
100378,11839,994
100452,28587,221
100458,61912,9
100504,4835,320
100533,17678,74
100579,4008,4249
100597,17002,37
100605,4946,1850
100662,28908,27
100663,12189,1131
100769,2443,845
100789,12046,1085
100959,3522,711
100999,7485,273
101024,3170,7201
101043,14762,364
101095,16028,164
101101,861,3042
101142,6761,176
101172,3630,5143
101255,8864,1250
101259,3325,2680
101264,12449,336
101295,129,36432
101395,4328,1178
101400,189,314
101403,3763,264
101479,164868,1
101487,1051,26999
101534,870,17788
101559,1808,1858
101615,1470,3410
101623,4694,796
101644,4174,1380
101692,8539,750
101704,2112,10404
101773,35657,42
101817,1348,4778
101843,487,2073
101917,3993,3663
101918,5836,330
101930,8705,78
101959,9506,1854
102008,778,979
102016,2474,427
102027,10822,1264
102054,18293,362
102103,2177,1686
102137,1681,6034
102167,3989,1946
102270,4901,803
102281,13762,299
102292,11221,100
102299,2680,2149
102341,16627,35
102355,31627,110
102426,6766,327
102519,8928,340
102550,344,6267
102633,24367,348
102661,4125,449
102726,7456,996
103016,17541,538
103042,2681,1827
103160,3488,6365
103198,2298,2116
103230,10585,1944
103285,44573,10
103288,22724,98
103294,1817,3648
103309,1175,1666
103312,17308,46
103333,6205,104
103409,33796,23
103490,670,3089
103496,6288,536
103502,22204,57
103615,4246,168
103669,7008,135
103683,3742,348
103709,167,555
103716,16502,509
103745,3143,1505
103781,54227,55
103797,23257,72
103804,2615,89
103806,16688,153
103853,5960,412
103858,4005,510
104085,680,1884
104127,8526,2018
104158,15183,212
104182,6961,70
104260,7581,116
104276,13604,65
104356,3527,430
104380,101047,36
104455,25069,121
104625,1246,1982
104636,2865,2841
104673,2895,1590
104676,1268,175
104693,18016,132
104694,7447,757
104702,7171,664
104753,4370,312
104837,4102,427
104848,7694,307
104880,449,365
104904,1279,1002
104911,9998,111
104997,1282,6689
105009,3979,584
105011,12910,882
105042,6760,1265
105113,3144,4363
105124,16332,95
105150,2022,7822
105168,1512,3032
105186,5976,3991
105190,38330,97
105206,642,3075
105237,32524,79
105247,3034,249
105274,5304,1922
105298,382,11702
105313,890,5044
105400,9114,530
105444,8473,433
105487,4286,306
105502,21516,61
105588,32358,46
105628,684,2717
105647,8690,549
105654,2692,157
105698,18087,106
105773,5748,1254
105794,12063,635
105862,1195,3709
105878,9169,391
105906,5759,858
105920,48406,87
105923,13001,50
105927,9836,254
106080,1524,2519
106082,11833,283
106117,20943,26
106124,16386,187
106143,771,37511
106212,7905,138
106239,7369,1567
106252,250,316
106258,1739,5345
106281,4306,1147
106289,46123,18
106302,1333,1423
106331,5035,992
106411,5903,293
106433,6170,720
106455,496,40204
106456,7682,554
106552,7253,114
106554,6251,41
106559,2430,311
106594,12369,189
106623,13353,409
106650,22227,112
106681,27,55545
106689,9655,2112
106727,14382,46
106737,405,4788
106761,1835,7813
106790,4705,917
106813,2562,4069
106904,47528,55
106968,5457,421
106993,2857,6272
107015,9638,389
107078,31979,93
107192,23785,191
107253,35869,31
107265,1825,11117
107272,3877,1729
107309,6868,479
107384,34259,131
107400,13715,67
107430,3022,2794
107443,13872,70
107454,94345,10
107456,1474,11374
107457,70,36393
107464,12877,552
107479,6784,649
107505,1327,599
107520,13218,230
107528,4588,3079
107592,3953,133
107653,53124,67
107658,11463,209
107668,273,11247
107687,1020,14159
107738,18755,179
107745,67,4503
107811,4973,183
107858,46962,49
108051,20531,177
108058,2685,5871
108160,3576,64
108176,15819,129
108179,3747,1929
108195,1715,2694
108199,7922,794
108214,1207,10022
108226,33802,43
108231,3498,1987
108257,3284,3189
108274,5581,833
108315,654,18498
108317,14024,208
108333,440,5054
108342,4868,3949
108424,392,3732
108437,15232,755
108446,4948,4026
108484,7395,596
108597,5881,284
108616,8910,591
108638,8166,215
108645,10105,127
108680,1983,1320
108688,218,835
108702,1704,6955
108843,26584,93
108894,2639,3121
108903,1059,10798
108985,84599,17
108987,11543,142
108988,8920,356
109003,3417,3003
109016,3837,596
109048,3845,1475
109096,73,1737
109113,3404,2398
109153,4570,648
109213,659,13919
109287,11822,1381
109673,21697,93
109696,29751,121
109717,10596,557
109724,13611,420
109758,68600,29
109776,16491,188
109779,2300,1553
109786,251,12030
109865,2568,284
109888,5427,831
109931,8,50918
109934,4134,1566
109981,5582,797
109982,23,7242
109986,27090,171
110017,214,5499
110069,17504,558
110089,13923,1109
110110,16342,215
110152,2170,1177
110161,8136,441
110177,2670,460
110198,11333,133
110318,1394,9080
110358,8111,629
110394,5949,535
110435,263,5643
110455,24971,35
110470,5998,924
110482,1011,4423
110569,1697,3089
110596,6612,1612
110605,696,12288
110642,2108,7757
110663,23605,68
110673,656,17902
110714,1892,7528
110764,2789,2870
110806,3120,4155
110812,12082,313
110822,11359,181
110869,1745,4023
110902,17034,65
110923,5873,1142
110984,7009,180
111022,626,13102
111051,14830,32
111154,3361,1281
111170,6168,430
111233,4654,1084
111299,3941,918
111314,3387,7357
111320,2340,4715
111600,7494,595
111621,1294,18502
111649,5446,1607
111712,1640,594
111713,160,876
111715,6159,145
111719,1886,2053
111732,22549,465
111741,662,17209
111892,9662,476
111908,14765,129
111940,151,2025
112072,31436,183
112125,6342,185
112134,1401,26283
112163,13603,234
112214,1845,3495
112221,13651,123
112224,3305,3263
112259,19914,363
112316,1563,6052
112330,59,15720
112349,621,16733
112388,16999,456
112421,7006,325
112542,13235,184
112548,7704,392
112591,15710,320
112707,44479,94
112724,1379,514
112735,17365,305
112781,2164,401
112782,1063,5737
112791,25560,193
112811,4311,1655
112828,3860,4106
112838,5370,1699
112847,22641,24
112923,5640,1170
112933,320,3310
113034,9811,511
113060,14557,171
113066,274,44763
113105,6016,9067
113113,1016,1558
113123,2181,747
113138,11268,1609
113223,2455,4732
113358,5191,1987
113363,1685,4166
113383,2961,2000
113398,3822,2655
113460,898,1811
113480,7288,661
113498,1304,647
113587,35594,41
113605,811,412
113609,10673,417
113611,1069,19022
113616,3299,2626
113630,7725,2606
113661,20774,314
113740,3475,4808
113823,5647,381
113832,1245,6447
113844,2209,3161
113884,16093,437
113910,12348,416
113946,28357,372
113949,8279,608
113975,32310,47
114001,2235,1489
114020,5936,673
114055,24717,139
114090,7314,510
114102,12541,96
114180,922,173
114195,2422,1878
114248,175,2551
114255,2550,3268
114295,22506,183
114319,29,105353
114373,4809,1838
114399,2662,2473
114412,1956,4323
114486,20759,33
114511,16891,162
114608,2389,3775
114613,1966,2889
114707,773,43300
114721,1783,10303
114723,13921,543
114740,3419,3887
114760,2421,476
114863,59358,25
114864,6284,1321
114971,4230,365
114984,13731,59
114994,5983,1777
115009,1903,3472
115039,7879,1084
115047,10000,1577
115112,34128,49
115171,196,17787
115213,363,6347
115222,5646,6669
115241,25181,14
115273,44175,19
115307,6362,1189
115341,10889,470
115375,2015,2412
115426,29646,197
115457,9587,934
115467,10107,204
115519,34,35004
115520,16433,567
115595,20295,119
115602,12513,290
115606,22210,33
115626,4273,510
115642,10092,217
115663,4695,2010
115683,13151,288
115695,4506,3433
115727,24522,70
115749,8209,3619
115794,20302,146
115862,3441,6496
115984,26846,114
115992,41570,67
116052,11437,131
116068,2573,536
116080,4338,1134
116095,2228,320
116151,2578,147
116291,33569,24
116461,10859,895
116496,11043,274
116505,9934,1196
116564,8915,101
116571,10697,1116
116593,1307,2031
116598,70362,8
116628,5458,1352
116650,14901,175
116656,2774,2629
116715,59781,27
116727,21176,45
116822,2755,1909
116846,217,1021
116861,14858,73
116963,10354,13
116978,17769,420
117024,8911,2499
117043,1310,955
117110,34255,56
117243,1019,3885
117251,28672,64
117265,3730,2087
117278,10136,1797
117305,38786,125
117357,1178,4916
117360,20215,69
117375,7257,320
117376,5954,475
117377,33390,248
117378,6218,1135
117400,3416,4539
117417,4746,803
117422,18604,33
117519,71324,14
117576,12761,306
117664,9413,200
117691,4108,184
117816,5953,2145
117838,6121,337
117839,311,26012
117865,7585,139
117871,1083,3482
117876,8259,385
117885,2963,1552
117907,8881,333
117938,4240,1924
117950,2415,6507
118107,7202,532
118144,4015,976
118247,987,9424
118288,1900,7951
118305,5597,1686
118317,29938,186
118328,3734,4050
118329,11783,541
118363,8353,257
118381,2106,3057
118405,3115,836
118411,18862,221
118420,887,3402
118503,5122,1334
118507,5970,4722
118520,2161,9582
118543,314,4224
118590,4453,2354
118699,8718,1093
118707,3840,1467
118715,71124,17
118754,10924,312
118760,11353,1168
118778,1,9883
118789,6202,1085
118904,28419,154
118912,22321,187
118929,5837,310
119022,10013,97
119077,66998,26
119124,1199,3281
119151,70741,7
119203,2688,2756
119222,876,28557
119250,867,1913
119264,3992,176
119402,1171,2375
119437,106,25341
119465,43938,27
119528,2640,3174
119596,141,10908
119615,1627,18607
119634,1819,25317
119649,25738,39
119732,13025,41
119752,15172,252
119768,24495,33
119788,2524,796
119854,3296,252
119887,3049,5797
119923,8937,255
119942,338,3208
120028,2037,1150
120030,4824,169
120057,21509,201
120223,8147,97
120304,658,25425
120373,7189,1396
120430,6499,183
120443,2094,1849
120451,7160,1282
120461,2779,5140
120470,2346,16846
120503,45873,50
120515,1846,4186
120540,1650,1948
120559,1272,11787
120612,5956,40
120621,20300,262
120694,4193,444
120723,31089,434
120735,1906,13381
120743,17767,387
120750,11917,129
120882,2461,5866
120903,297,15665
120972,650,2198
121019,18623,40
121072,1552,6968
121101,7850,629
121102,10450,1230
121171,18213,355
121337,2647,360
121407,11517,107
121504,18,41772
121519,687,2283
121733,359,34971
121738,6485,292
121775,4843,1402
121803,418,4038
121817,69115,23
121899,385,1469
122062,569,4857
122070,2816,688
122074,4103,5814
122117,10268,516
122311,65,58745
122401,2545,1329
122446,10073,605
122460,2052,97
122491,2354,6478
122536,2400,4112
122614,3406,9718
122825,149,13658
122845,2497,2780
122846,10219,109
122868,3804,946
123078,23216,84
123128,1865,10492
123163,525,2787
123195,1996,636
123281,2953,1203
123314,144,23074
123329,27313,141
123383,9763,911
123422,1293,926
123458,8453,1063
123467,99,16295
123493,1271,3428
123506,7656,48
123523,26836,278
123611,7653,2183
123665,13842,421
123686,54995,18
123750,16289,245
123780,1702,4671
123815,14015,190
123904,760,3828
123932,2658,670
123974,27292,138
124014,797,392
124059,2021,10978
124065,12848,356
124115,3111,107
124129,421,6069
124149,35595,67
124164,4501,1043
124271,77,20647
124274,21844,50
124293,24,52949
124307,1478,2052
124340,19464,195
124375,6573,981
124392,6866,1522
124413,1208,33933
124414,201,8046
124446,22501,181
124497,2013,2236
124505,6223,306
124594,1482,204
124608,7821,243
124611,1425,13865
124698,2708,516
124757,44,52566
124772,5189,757
124808,1428,832
124854,779,6761
124919,46,9545
124943,5117,982
125008,1153,2912
125040,10987,270
125063,54756,29
125065,49798,2
125139,6789,146
125154,68,17821
125165,10524,128
125169,5978,1556
125175,3392,1543
125195,2251,10912
125196,22648,418
125203,7157,222
125204,5654,5797
125222,1090,6020
125226,3971,828
125240,1862,11395
125286,124,12328
125297,1816,1390
125362,57,28732
125398,9914,474
125432,1965,4279
125465,26114,84
125511,1804,9097
125519,21660,234
125574,3388,6009
125587,8951,238
125588,2232,315
125630,11433,2194
125698,6870,1537
125713,6588,1011
125730,20907,370
125737,203,4267
125755,6833,2560
125782,49807,8
125788,23532,74
125875,1813,395
125939,3385,2248
126023,16050,280
126068,3147,2184
126091,4089,135
126149,1848,3086
126176,85940,3
126265,123,30479
126287,10586,699
126296,5996,393
126306,111,6233
126392,6150,292
126452,419,9051
126565,3470,4647
126569,4525,1579
126628,2132,96
126632,6840,522
126688,1163,3009
126727,2483,4176
126788,171,4498
126918,2256,1859
126949,7829,985
126978,23530,115
126995,404,1850
127077,1196,5463
127110,27954,147
127115,20586,227
127121,28,25634
127135,748,22253
127223,5659,254
127269,2541,4596
127286,279,19704
127322,293,8850
127358,14186,824
127361,6932,1771
127364,55192,123
127401,3844,1324
127459,2981,346
127480,1386,2024
127518,9429,420
127533,12298,60
127556,2095,2348
127559,1033,7288
127571,13066,492
127607,4953,2453
127628,10729,336
127709,701,163
127728,7837,258
127743,4688,1799
127748,158,1188
127761,19095,32
127795,4773,1701
127828,8201,1010
127882,1123,13480
127901,434,7080
127950,25246,123
128087,13516,535
128089,6226,521
128157,1205,7426
128210,7223,725
128220,983,434
128247,3799,3323
128288,3809,4848
128317,1810,4090
128366,24710,46
128430,23624,264
128479,185,278
128556,2584,2062
128561,2644,1347
128683,4064,1656
128708,2287,4208
128731,2459,2017
128817,3670,4600
128838,343,3745
128843,6931,723
128888,11681,235
128916,2295,2335
128955,4732,538
128965,33034,55
128967,13483,232
128988,1464,4493
129024,566,3921
129048,11535,1004
129049,11716,340
129189,762,3533
129292,9212,380
129299,1172,865
129371,2179,1346
129436,3424,2878
129532,1128,1394
129572,121094,3
129605,2776,341
129748,122,3760
129778,1000,3537
129787,74374,34
129894,26397,231
129925,15709,233
129940,6468,1068
129972,1290,12788
129974,9388,1078
130072,4499,501
130200,1313,3748
130215,3007,298
130220,48662,19
130320,260,27571
130340,1152,8548
130425,9492,417
130470,30870,145
130480,2237,2217
130545,29829,64
130555,13285,129
130571,12086,467
130640,1092,3195
130699,12850,216
130721,348,21114
130747,1054,2317
130774,49280,50
130783,18555,598
130800,1365,13249
130918,5958,1928
130931,3543,9531
131021,1635,14205
131088,9826,80
131099,15379,83
131125,10922,58
131162,11686,191
131212,1265,20681
131271,2257,3893
131322,3178,1050
131326,7858,114
131475,42,2175
131514,27210,129
131543,277,11540
131545,92,56619
131568,350,16521
131598,3888,1793
131638,682,1410
131693,2396,4739
131772,974,15117
131773,3198,1840
131857,742,8461
131882,1479,22674
131896,19784,69
131983,16808,241
132022,117,95187
132042,1312,14861
132044,2097,896
132058,1807,27763
132059,3278,3951
132092,2851,2096
132117,3403,824
132121,2390,907
132158,6338,128
132160,10985,171
132166,3795,2518
132173,1157,10435
132323,448,8021
132339,13409,99
132381,1244,8254
132482,7016,311
132488,1189,13743
132551,2027,5469
132562,7089,2529
132591,10811,148
132707,627,14928
132737,7752,1429
132763,653,9195
132777,5656,511
132788,1028,1164
132830,1344,2006
132934,2750,907
132998,10582,2987
133050,9035,261
133240,6060,1324
133246,1916,7916
133286,8912,38
133391,11261,1080
133467,53616,45
133483,1168,4133
133489,3458,1324
133575,11306,433
133618,4296,66
133645,1241,24311
133719,2206,1132
133733,9008,458
133788,12906,408
133849,20409,123
133979,244,2843
134023,632,6529
134073,1972,5822
134099,2650,3505
134129,12396,431
134160,12,58218
134208,3044,1467
134212,23134,67
134240,3886,168
134260,7454,2249
134279,23737,115
134280,754,11493
134334,25418,230
134369,5289,4022
134371,3884,419
134387,29617,119
134425,7036,509
134452,4031,1150
134495,2939,4028
134559,7414,36
134796,4173,979
134915,6479,1547
134925,18003,249
134929,5193,987
134946,12880,163
135018,8877,1966
135028,89,8242
135031,5726,767
135182,16508,625
135310,4145,666
135327,29379,94
135367,3696,1003
135437,470,5874
135512,2061,56
135549,239,16889
135554,28276,116
135580,6030,128
135600,10692,911
135610,6013,545
135650,21289,204
135840,1214,6924
135849,1166,1742
135937,580,298
135944,5359,756
136006,30576,161
136030,5890,906
136058,2560,3226
136084,11771,1230
136148,7591,50
136187,409,5329
136191,9829,2224
136195,881,11900
136262,2716,1660
136323,6674,180
136389,150894,2
136585,30344,110
136588,303,1899
136595,437,7043
136597,900,3133
136676,5782,232
136762,2801,8929
136772,31099,20
136863,84,11663
136900,2265,2762
136982,2410,4397
136999,7992,912
137009,138,10661
137043,1502,1323
137083,11417,292
137130,6155,90
137216,2196,5294
137335,6372,354
137361,1067,7642
137513,45051,72
137553,400,831
137618,2275,3319
137806,13461,476
137839,884,54971
137851,6874,1181
137910,27861,47
137938,2580,626
137958,33487,45
138003,17105,240
138075,307,10211
138106,2989,3289
138135,13713,860
138187,3043,4044
138236,403,2686
138243,1285,5934
138285,6530,628
138303,48915,17
138372,44644,63
138388,11251,751
138522,3032,107
138658,5994,1006
138725,638,26542
138763,454,4179
138791,6865,218
138796,663,9136
138798,3537,645
138801,14673,244
138805,10102,465
138848,33053,48
138858,5121,1134
139059,3390,335
139138,2349,3682
139147,2652,3477
139179,4446,2593
139202,2864,459
139221,3842,2975
139253,8537,209
139265,19661,321
139285,3371,1579
139290,2863,1927
139354,64244,16
139379,3885,232
139422,168845,1
139439,15939,45
139547,3418,5760
139557,917,2828
139632,9430,111
139678,22009,295
139733,4155,752
139734,36936,241
139774,281,4473
139786,5461,805
139804,1752,565
139830,13036,433
139998,4482,140
140075,1363,29962
140085,5901,5245
140116,647,13418
140156,469,4868
140226,7800,270
140247,11095,502
140272,1624,23044
140339,1725,10305
140525,15429,111
140536,2218,12865
140600,33111,44
140663,19065,187
